bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 1, 1, 0.5833333333333333, 0.0
2, 1, 1, 1, 0.6710526315789473, 0.0
3, 1, 1, 1, 0.611920432877086, 0.0
4, 0, 0, 1, 0.25, 3.0
5, 0, 0, 0, 0.07142857142857142, 13.0
6, 0, 0, 0, 0.04044117647058823, 98.0
7, 0, 0, 1, 0.2, 3.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
10, 0, 0, 0, 0.047619047619047616, 28.0
12, 0, 0, 0, 0.06904936461388075, 30.0
13, 0, 0, 0, 0.08125, 15.0
14, 0, 0, 0, 0.05555555555555555, 24.0
16, 0, 1, 1, 0.3333333333333333, 6.0
17, 0, 0, 1, 0.25, 2.0
18, 0, 0, 0, 0.16666666666666666, 5.0
19, 0, 0, 0, 0.0125, 79.0
20, 0, 0, 0, 0.016666666666666666, 58.0
21, 0, 0, 0, 0.024390243902439025, 39.0
22, 0, 0, 0, 0.0012594458438287153, 436.0
23, 1, 1, 1, 1.0, 0.0
24, 0, 0, 0, 0.015384615384615385, 64.0
25, 0, 0, 0, 0.047619047619047616, 20.0
26, 0, 0, 0, 0.008202924457280955, 66.0
27, 0, 0, 0, 0.02857142857142857, 26.0
