bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 1, 1, 0.5833333333333333, 0.0
2, 1, 1, 1, 0.6710526315789473, 0.0
3, 1, 1, 1, 0.13841870145249932, 0.0
4, 0, 0, 1, 0.25, 3.0
5, 1, 1, 1, 1.0, 0.0
6, 1, 1, 1, 0.5046728971962616, 0.0
7, 0, 0, 1, 0.2, 3.0
8, 1, 1, 1, 1.0, 0.0
9, 1, 1, 1, 1.0, 0.0
10, 0, 0, 0, 0.027777777777777776, 27.0
12, 0, 0, 0, 0.07469555460947616, 22.0
13, 0, 0, 0, 0.08125, 15.0
14, 1, 1, 1, 1.0, 1.0
16, 0, 0, 0, 0.16666666666666666, 5.0
17, 0, 0, 1, 0.25, 2.0
18, 0, 0, 0, 0.16666666666666666, 5.0
19, 0, 0, 0, 0.0125, 79.0
20, 0, 0, 0, 0.016666666666666666, 58.0
21, 0, 0, 0, 0.022222222222222223, 45.0
22, 0, 0, 0, 0.0012594458438287153, 436.0
23, 1, 1, 1, 1.0, 0.0
24, 0, 0, 0, 0.018867924528301886, 51.0
25, 0, 0, 0, 0.0625, 15.0
26, 1, 1, 1, 0.25464454313684826, 0.0
27, 0, 0, 0, 0.02857142857142857, 26.0
