bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.055555555555555552, 17.0
2,1, 1, 1, 1.0, 2.0
3,0, 0, 1, 0.13166666666666665, 8.0
4,0, 0, 0, 0.019230769230769232, 51.0
5,0, 0, 0, 0.027777777777777776, 34.0
6,0, 0, 1, 0.12629701686121919, 5.0
7,0, 1, 1, 0.5, 1.0
8,0, 0, 0, 0.0032573289902280132, 314.0
9,1, 1, 1, 0.5021141649048626, 0.0
10,0, 0, 0, 0.011764705882352941, 87.0
11,0, 0, 0, 0.004830917874396135, 203.0
12,0, 0, 0, 0.0011976047904191617, 1241.0
13,0, 0, 0, 0.014925373134328358, 52.0
14,0, 0, 0, 0.030303030303030304, 32.0
15,0, 0, 0, 0.045454545454545456, 20.0
16,0, 1, 1, 0.375, 1.0
17,0, 0, 0, 0.058823529411764705, 16.0
18,0, 0, 0, 0.0041493775933609959, 238.0
19,0, 0, 0, 0.16666666666666666, 8.0
20,0, 0, 1, 0.20000000000000001, 6.0
21,0, 0, 0, 0.011494252873563218, 81.0
22,0, 0, 0, 0.013888888888888888, 80.0
23,0, 1, 1, 0.33333333333333331, 2.0
24,0, 1, 1, 0.33333333333333331, 7.0
25,0, 0, 0, 0.010416666666666666, 97.0
26,0, 0, 0, 0.058823529411764705, 11.0
27,0, 0, 1, 0.18333333333333335, 3.0
29,0, 0, 0, 0.011235955056179775, 88.0
30,0, 0, 0, 0.026549585857777062, 17.0
31,0, 0, 0, 0.012500000000000001, 78.0
32,0, 0, 1, 0.25, 1.0
33,0, 0, 0, 0.1111111111111111, 8.0
34,0, 1, 1, 0.17029847424515934, 0.0
35,0, 0, 0, 0.008130081300813009, 122.0
36,0, 0, 0, 0.013698630136986301, 46.0
37,0, 0, 0, 0.041353383458646614, 23.0
38,0, 0, 1, 0.25, 3.0
39,0, 0, 0, 0.012345679012345678, 55.0
40,0, 0, 0, 0.018867924528301886, 52.0
41,0, 0, 0, 0.013682909604519775, 95.0
42,0, 0, 0, 0.090909090909090912, 7.0
43,0, 0, 0, 0.01591296928327645, 39.0
44,0, 0, 0, 0.0076335877862595417, 198.0
45,0, 0, 0, 0.036901595744680854, 30.0
46,0, 0, 0, 0.071428571428571425, 13.0
47,0, 0, 0, 0.0031475688409994978, 328.0
48,1, 1, 1, 1.0, 0.0
49,0, 0, 0, 0.018378422923877469, 89.0
50,0, 0, 1, 0.25, 6.0
51,0, 0, 0, 0.050000000000000003, 15.0
52,0, 0, 0, 0.066666666666666666, 14.0
53,0, 1, 1, 0.5, 11.0
54,1, 1, 1, 0.6681075888568685, 0.0
55,0, 0, 0, 0.0031152647975077881, 383.0
56,1, 1, 1, 1.0, 0.0
57,0, 1, 1, 0.33333333333333331, 5.0
58,0, 0, 0, 0.1111111111111111, 4.0
59,0, 0, 0, 0.0033670033670033669, 263.0
60,0, 0, 1, 0.10024503798088705, 4.0
61,0, 0, 0, 0.022222222222222223, 42.0
62,1, 1, 1, 1.0, 0.0
63,1, 1, 1, 1.0, 0.0
64,0, 0, 0, 0.0035827419432975572, 199.0
65,0, 1, 1, 0.33333333333333331, 2.0
66,0, 0, 0, 0.14285714285714285, 6.0
67,0, 0, 0, 0.0020283975659229209, 322.0
68,0, 1, 1, 0.63888888888888884, 0.0
69,0, 0, 0, 0.1111111111111111, 8.0
70,0, 0, 0, 0.012345679012345678, 80.0
71,0, 0, 0, 0.0014771048744460858, 676.0
72,0, 0, 0, 0.016129032258064516, 59.0
73,1, 1, 1, 1.0, 0.0
74,1, 1, 1, 1.0, 0.0
75,0, 0, 0, 0.094537815126050417, 14.0
76,0, 0, 0, 0.059027777777777776, 16.0
77,1, 1, 1, 1.0, 0.0
78,1, 1, 1, 1.0, 0.0
79,0, 0, 1, 0.10242130750605327, 4.0
80,0, 0, 0, 0.0059876843299303192, 244.0
81,0, 1, 1, 0.33333333333333331, 2.0
82,0, 0, 0, 0.027777777777777776, 49.0
83,1, 1, 1, 1.0, 0.0
84,0, 0, 0, 0.076923076923076927, 12.0
85,1, 1, 1, 0.52500000000000002, 1.0
86,1, 1, 1, 1.0, 0.0
87,0, 0, 0, 0.021739130434782608, 43.0
88,0, 0, 0, 0.083333333333333329, 10.0
89,0, 0, 0, 0.0073130247998437811, 89.0
90,1, 1, 1, 0.50182481751824815, 0.0
91,0, 0, 0, 0.010752688172043012, 92.0
92,0, 0, 0, 0.083333333333333329, 11.0
93,0, 0, 0, 0.083333333333333329, 11.0
94,0, 0, 0, 0.10000000000000001, 9.0
95,0, 0, 0, 0.0066225165562913907, 150.0
96,0, 0, 0, 0.076923076923076927, 12.0
97,0, 0, 0, 0.14285714285714285, 5.0
98,0, 0, 0, 0.006435044137176783, 203.0
99,0, 0, 0, 0.0080000000000000002, 179.0
100,0, 0, 0, 0.0041530501089324622, 155.0
101,0, 0, 0, 0.002304147465437788, 451.0
102,0, 0, 0, 0.0017953321364452424, 580.0
103,0, 0, 0, 0.032592281879194628, 15.0
104,1, 1, 1, 1.0, 0.0
105,0, 0, 0, 0.14285714285714285, 4.0
106,0, 0, 0, 0.024747474747474747, 21.0
107,0, 0, 0, 0.041666666666666664, 25.0
108,0, 0, 0, 0.023523642219294396, 18.0
109,0, 0, 0, 0.125, 7.0
110,0, 0, 0, 0.072179886229473009, 8.0
111,0, 0, 0, 0.0016339869281045752, 645.0
112,0, 0, 0, 0.052631578947368418, 18.0
113,0, 0, 0, 0.037037037037037035, 15.0
114,0, 0, 0, 0.007874015748031496, 126.0
115,0, 0, 1, 0.25, 3.0
116,0, 1, 1, 0.5, 1.0
117,0, 0, 1, 0.20000000000000001, 3.0
118,0, 0, 0, 0.015625, 63.0
119,0, 0, 0, 0.010638297872340425, 92.0
120,0, 0, 0, 0.012500000000000001, 74.0
121,0, 0, 0, 0.14285714285714285, 6.0
122,1, 1, 1, 1.0, 0.0
123,0, 0, 0, 0.125, 3.0
124,0, 0, 0, 0.14285714285714285, 8.0
125,0, 0, 1, 0.25, 2.0
126,0, 0, 0, 0.014492753623188406, 74.0
127,0, 0, 0, 0.0062500000000000003, 160.0
128,0, 0, 0, 0.071428571428571425, 13.0
129,0, 0, 0, 0.029411764705882353, 35.0
130,0, 0, 0, 0.028571428571428571, 32.0
131,0, 0, 0, 0.1111111111111111, 8.0
132,0, 0, 0, 0.038461538461538464, 25.0
133,0, 0, 0, 0.040000000000000001, 24.0
