bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1, 0, 0, 1, 0.25, 26.0
2, 0, 0, 0, 0.03290450272142503, 42.0
3, 1, 1, 1, 1.0, 0.0
4, 0, 0, 0, 0.02040816326530612, 47.0
5, 0, 1, 1, 0.5, 1.0
7, 0, 0, 0, 0.04, 16.0
9, 1, 1, 1, 1.0, 0.0
12, 0, 0, 0, 0.022222222222222223, 34.0
13, 0, 0, 0, 0.05555555555555555, 12.0
14, 0, 1, 1, 0.2583333333333333, 6.0
15, 0, 0, 0, 0.008928571428571428, 88.0
16, 0, 0, 0, 0.17142857142857143, 3.0
17, 1, 1, 1, 1.0, 0.0
18, 1, 1, 1, 1.0, 0.0
19, 1, 1, 1, 1.0, 0.0
20, 1, 1, 1, 1.0, 1.0
21, 0, 1, 1, 0.3, 1.0
22, 0, 0, 0, 0.158160552897395, 9.0
25, 0, 0, 0, 0.002840670974136957, 509.0
26, 0, 0, 0, 0.007462686567164179, 77.0
