bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
32, 0, 0, 0, 0.13208360267183797, 9.0
64, 0, 0, 0, 0.1111111111111111, 8.0
2, 1, 1, 1, 1.0, 0.0
34, 0, 0, 0, 0.0900735294117647, 15.0
5, 0, 1, 1, 0.5, 1.0
6, 0, 0, 0, 0.05263157894736842, 15.0
8, 0, 0, 0, 0.09583333333333333, 12.0
9, 0, 0, 0, 0.03125, 31.0
10, 0, 0, 0, 0.05, 20.0
13, 1, 1, 1, 0.8333333333333333, 0.0
15, 1, 1, 1, 0.5158730158730158, 0.0
50, 0, 0, 0, 0.10882352941176471, 12.0
17, 0, 0, 1, 0.2, 4.0
18, 0, 0, 0, 0.017857142857142856, 63.0
20, 0, 0, 1, 0.29166666666666663, 2.0
26, 0, 1, 1, 0.5, 1.0
38, 0, 0, 0, 0.1111111111111111, 6.0
42, 0, 0, 1, 0.2, 4.0
62, 0, 1, 1, 0.31666666666666665, 1.0
63, 0, 1, 1, 0.5833333333333333, 1.0
