bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 1, 1, 0.58333333333333326, 0.0
2,1, 1, 1, 0.67105263157894735, 0.0
3,1, 1, 1, 0.13750301942778159, 0.0
4,0, 0, 1, 0.25, 3.0
5,1, 1, 1, 1.0, 0.0
6,1, 1, 1, 0.50617283950617287, 0.0
7,0, 0, 1, 0.20000000000000001, 3.0
8,1, 1, 1, 1.0, 0.0
9,1, 1, 1, 1.0, 0.0
10,0, 0, 0, 0.027777777777777776, 27.0
12,0, 0, 0, 0.042059586823577785, 55.0
13,0, 0, 0, 0.081250000000000003, 15.0
14,1, 1, 1, 1.0, 1.0
15,0, 0, 1, 0.25, 2.0
16,0, 0, 0, 0.14285714285714285, 6.0
17,0, 0, 1, 0.25, 2.0
18,0, 0, 0, 0.16666666666666666, 5.0
19,0, 0, 0, 0.012500000000000001, 79.0
20,0, 0, 0, 0.016666666666666666, 58.0
21,0, 0, 0, 0.022727272727272728, 45.0
22,0, 0, 0, 0.0012578616352201257, 436.0
23,1, 1, 1, 1.0, 0.0
24,0, 0, 0, 0.019230769230769232, 50.0
25,0, 0, 0, 0.090909090909090912, 9.0
26,1, 1, 1, 0.2554244775784939, 0.0
27,0, 0, 0, 0.028571428571428571, 26.0
